@relation product

@attribute carbs numeric
@attribute sugar numeric
@attribute fat numeric
@attribute saturatedfat numeric
@attribute salt numeric
@attribute energy numeric
@attribute sodium numeric
@attribute proteins numeric
@attribute fiber numeric
@attribute class {Bread,Soda,Cereal}

@data
72.000000,17.000000,9.000000,0.700000,0.400000,1749.000000,0.160000,8.300000,8.800000,Bread
50.000000,-1.000000,-1.000000,-1.000000,-1.000000,1100.000000,-1.000000,9.500000,-1.000000,Bread
32.200000,2.800000,11.300000,4.600000,1.330000,4778.000000,0.532000,9.900000,-1.000000,Bread
84.000000,6.000000,1.700000,0.300000,1.400000,1590.000000,0.560000,6.000000,2.300000,Bread
70.300000,1.800000,12.300000,1.400000,2.700000,1835.000000,1.080000,9.500000,2.900000,Bread
48.100000,2.200000,4.700000,1.000000,-1.000000,1205.000000,-1.000000,9.300000,-1.000000,Bread
64.500000,3.000000,8.000000,0.700000,2.500000,1660.000000,1.000000,11.000000,10.000000,Bread
43.000000,1.300000,5.200000,0.600000,0.900000,1155.000000,0.360000,12.000000,3.400000,Bread
34.480000,1.820000,6.720000,1.230000,1.410000,1066.650000,0.564000,11.920000,-1.000000,Bread
68.800000,8.800000,6.800000,2.500000,0.710000,1657.000000,0.284000,13.700000,2.100000,Bread
49.000000,4.400000,1.500000,0.500000,0.950000,1049.000000,0.380000,8.900000,1.600000,Bread
46.000000,4.100000,5.700000,5.100000,0.890000,1178.000000,0.356000,10.400000,1.700000,Bread
63.000000,2.200000,1.800000,0.300000,1.500000,1397.000000,0.600000,8.400000,16.000000,Bread
59.200000,1.500000,2.800000,0.500000,1.400000,1443.000000,0.560000,10.800000,20.000000,Bread
51.000000,3.800000,6.900000,1.300000,0.900000,1259.000000,0.360000,9.100000,-1.000000,Bread
48.500000,1.900000,1.000000,0.200000,1.000000,1028.000000,0.400000,8.400000,3.000000,Bread
41.100000,4.200000,7.400000,1.500000,0.930000,1059.400000,0.372000,3.600000,3.200000,Bread
35.000000,1.500000,8.300000,1.300000,1.400000,1113.000000,0.560000,8.500000,-1.000000,Bread
66.000000,2.600000,7.100000,0.700000,1.400000,1648.000000,0.560000,12.000000,7.400000,Bread
1.400000,1.400000,10.000000,1.000000,0.900000,1652.000000,0.360000,11.000000,-1.000000,Bread
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Bread
67.900000,1.300000,10.600000,4.500000,1.750000,1753.000000,0.700000,11.200000,-1.000000,Bread
37.600000,1.400000,5.800000,0.800000,0.900000,1160.000000,0.360000,14.100000,8.300000,Bread
40.880000,1.055000,1.378000,0.229000,1.010000,963.400000,0.404000,8.974000,6.928000,Bread
11.000000,11.000000,0.000000,0.000000,0.100000,194.000000,0.040000,0.000000,0.000000,Soda
1.000000,1.000000,0.000000,0.000000,0.030000,20.000000,0.012000,0.000000,0.000000,Soda
0.100000,0.100000,0.000000,0.000000,-1.000000,3.000000,-1.000000,0.100000,0.000000,Soda
8.600000,8.600000,0.000000,0.000000,0.000000,149.000000,0.000000,0.000000,-1.000000,Soda
0.000000,0.000000,0.000000,0.000000,0.300000,3.000000,0.120000,0.000000,0.000000,Soda
11.200000,11.200000,0.000000,0.000000,0.000000,190.000000,0.000000,-1.000000,0.000000,Soda
7.600000,7.600000,0.100000,0.000000,0.020000,134.000000,0.008000,0.100000,0.100000,Soda
0.000000,0.000000,0.000000,0.000000,0.020000,4.000000,0.008000,0.000000,-1.000000,Soda
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Soda
11.000000,11.000000,0.000000,0.000000,0.030000,184.000000,0.012000,0.000000,0.000000,Soda
1.000000,1.000000,0.000000,0.000000,0.030000,172.000000,0.012000,0.000000,-1.000000,Soda
6.900000,6.700000,0.000000,0.000000,0.000000,117.000000,0.000000,0.000000,-1.000000,Soda
7.900000,7.400000,0.000000,0.000000,0.000000,134.000000,0.000000,1.000000,-1.000000,Soda
12.000000,11.000000,0.500000,0.500000,0.090000,350.000000,0.036000,0.500000,-1.000000,Soda
0.000000,0.000000,0.000000,0.000000,0.000000,1.900000,0.000000,0.000000,0.000000,Soda
6.900000,6.900000,0.000000,0.000000,0.020000,117.000000,0.008000,0.000000,0.000000,Soda
7.800000,7.800000,0.000000,0.000000,0.000000,130.000000,0.000000,1.000000,0.000000,Soda
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Soda
0.000000,0.000000,0.000000,0.000000,0.020000,0.800000,0.008000,0.000000,0.000000,Soda
4.700000,4.500000,0.500000,0.100000,0.110000,84.000000,0.044000,0.500000,-1.000000,Soda
0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,-1.000000,Soda
6.900000,6.900000,0.100000,0.100000,0.100000,121.000000,0.040000,0.100000,-1.000000,Soda
